"","Keyword","Search Volume","Relevancy %","Exact Sugg. Bid | Bid Range","B0896V8WRN","B09987PKBT","B09MTJ4QBN","B09QT16W5T","B07CKBFGB5"
"","dog hat","13851","100%","$0.47 | $0.32 - $0.53","2","1","7","32","24"
"","pink dog hat","150","100%","$0.39 | $0.32 - $0.53","30","16","13","44","12"
"","dog pink hat","150","100%","$0.51 | $0.41 - $0.62","32","19","16","21","23"
"","dog hat large","150","100%","$0.35 | $0.32 - $0.41","1","2","6","29","5"
"","dog hats for large dogs","5536","80%","$0.48 | $0.37 - $0.53","1","3","2","49","6"
"","dog hats","5155","80%","$0.47 | $0.32 - $0.53","5","1","7","","19"
"","hats for dogs","2193","80%","$0.44 | $0.35 - $0.52","1","2","5","","13"
"","dog hats for medium dogs","1625","80%","$0.37 | $0.32 - $0.47","6","1","21","","12"
"","hat for dog","1006","80%","$0.44 | $0.35 - $0.52","3","1","24","","11"
"","tail up dog hat","173","80%","$0.48 | $0.32 - $0.53","9","2","45","","5"
"","doggy hats","150","80%","$0.46 | $0.37 - $0.55","32","23","28","60","15"
"","doggy hat","150","80%","$0.46 | $0.37 - $0.55","34","2","22","","5"
"","hats for puppies","150","80%","$0.35 | $0.32 - $0.38","37","31","","45","33"
"","puppy hat","150","80%","$0.54 | $0.43 - $0.65","22","7","","43","17"
"","hat for dogs","150","80%","$0.44 | $0.35 - $0.52","2","1","10","","12"
"","hats for dog","150","80%","$0.44 | $0.35 - $0.52","2","1","8","","11"
"","dog hars","150","80%","$1.17 | $0.66 - $1.46","5","1","7","","19"
"","dogs hats","150","80%","$0.47 | $0.32 - $0.53","3","2","21","","12"
"","puppy hats for small dogs","150","80%","$0.46 | $0.37 - $0.55","23","17","","31","12"
"","yankee dog hat","150","80%","$0.35 | $0.32 - $0.38","10","6","25","","37"
"","dachshund hats for dogs","150","80%","$0.65 | $0.52 - $0.78","4","15","31","","20"
"","dog pilot hat","150","80%","$0.41 | $0.33 - $0.50","42","4","33","","34"
"","kirby dog hat","150","80%","$0.90 | $0.72 - $1.08","32","26","27","","18"
"","orange dog hat","150","80%","$0.43 | $0.34 - $0.51","18","1","24","","2"
"","white dog hat","150","80%","$0.41 | $0.33 - $0.50","15","27","18","","14"
"","dog hat with ear holes","150","80%","$0.42 | $0.32 - $0.53","1","4","28","","9"
"","hat for dogs with ear holes","150","80%","$0.43 | $0.34 - $0.51","1","4","45","","18"
"","doggie hat","150","80%","$0.48 | $0.38 - $0.57","33","19","21","49","8"
"","gorra para perros","150","80%","$0.35 | $0.32 - $0.38","3","5","25","","11"
"","gorros para perros","150","80%","$0.35 | $0.32 - $0.41","5","25","7","","11"
"","hats for dogs small","150","80%","$0.45 | $0.37 - $0.56","8","18","40","","20"
"","pet hats for dogs","150","80%","$0.56 | $0.45 - $0.68","2","7","10","","41"
"","dogs hat","150","80%","$0.47 | $0.32 - $0.53","2","1","16","","17"
"","dog hat for large dogs","150","80%","$0.48 | $0.37 - $0.53","1","3","2","","5"
"","dog spinning hat","150","80%","$0.41 | $0.33 - $0.50","15","20","16","","40"
"","canada pooch dog hat","150","80%","$0.59 | $0.47 - $0.71","31","36","24","","21"
"","dog head protection","150","80%","$2.91 | $2.33 - $3.50","43","6","3","","13"
"","yellow dog hat","150","80%","$0.41 | $0.33 - $0.50","1","15","28","","13"
"","red dog hat","150","80%","$0.43 | $0.34 - $0.51","9","5","11","","8"
"","small dog hat","150","80%","$0.45 | $0.35 - $0.55","5","20","30","","19"
"","large dog hats","150","80%","$0.36 | $0.32 - $0.52","1","2","5","","21"
"","large dog hat","150","80%","$0.36 | $0.32 - $0.52","1","2","21","","3"
"","small dog hats","150","80%","$0.45 | $0.35 - $0.55","8","16","30","","36"
"","gorras para perros","150","80%","$0.35 | $0.32 - $0.38","1","2","24","","8"
"","gorra para perro","150","80%","$0.35 | $0.32 - $0.38","1","31","17","","5"
"","dog baseball cap","1572","60%","$0.49 | $0.39 - $0.59","2","3","","","9"
"","dog hat for small dogs","835","60%","$0.44 | $0.32 - $0.54","18","11","57","","7"
"","dog bucket hat","576","60%","$0.47 | $0.35 - $0.61","28","21","","","43"
"","dog cap","524","60%","$0.40 | $0.32 - $0.53","1","4","","","36"
"","dog sun hat","407","60%","$0.35 | $0.32 - $0.38","3","8","","","17"
"","dog caps","150","60%","$0.40 | $0.32 - $0.53","1","3","","","24"
"","doggie hats","150","60%","$0.48 | $0.38 - $0.57","","8","19","","14"
"","girl dog hat","150","60%","$0.53 | $0.42 - $0.63","36","94","","22","19"
"","black dog hat","150","60%","$0.35 | $0.32 - $0.39","11","1","39","","46"
"","bucket hat for dog","150","60%","$0.40 | $0.32 - $0.57","24","5","73","","32"
"","cap for dogs","150","60%","$0.37 | $0.32 - $0.51","1","3","","","28"
"","caps for dogs","150","60%","$0.37 | $0.32 - $0.51","1","4","","","36"
"","dodger hat for dogs","150","60%","$0.49 | $0.39 - $0.59","14","13","","","19"
"","dog beach hat","150","60%","$0.36 | $0.32 - $0.45","8","1","91","","3"
"","dog bonnet","150","60%","$1.21 | $0.97 - $1.46","9","11","23","",""
"","dog bonnet for large dogs","150","60%","$1.35 | $0.76 - $1.80","2","12","23","",""
"","dog caps for small dogs","150","60%","$0.60 | $0.48 - $0.72","6","27","","","36"
"","dog hate","150","60%","$2.74 | $2.19 - $3.29","9","21","3","",""
"","dog hats for dogs","150","60%","$0.49 | $0.39 - $0.59","4","2","17","",""
"","dog rain hat","150","60%","$0.37 | $0.32 - $0.52","11","3","29","",""
"","dog rain hats for large dogs","150","60%","$0.41 | $0.33 - $0.50","30","2","15","",""
"","dog summer hat","150","60%","$0.44 | $0.35 - $0.52","27","1","","","7"
"","dog visor","150","60%","$0.35 | $0.32 - $0.42","2","17","","","31"
"","dodger dog hat","150","60%","$0.35 | $0.32 - $0.38","21","27","","","35"
"","dog visors for large dogs","150","60%","$0.49 | $0.39 - $0.59","1","16","","","36"
"","dog visors for small dogs","150","60%","$0.35 | $0.32 - $0.38","4","21","","","33"
"","duck hats for dogs","150","60%","$0.66 | $0.53 - $0.80","32","25","79","","37"
"","golden retriever hat for dog","150","60%","$0.35 | $0.32 - $0.41","15","7","","","38"
"","golden retriever hats for dogs","150","60%","$0.35 | $0.32 - $0.41","32","1","61","","24"
"","gorras para perros pequeños","150","60%","$0.35 | $0.32 - $0.38","15","22","32","","47"
"","hats for small dogs","150","60%","$0.59 | $0.47 - $0.71","7","19","47","","36"
"","pitbull hats for dogs","150","60%","$0.35 | $0.32 - $0.38","1","5","17","","83"
"","rain hat for dogs","150","60%","$0.66 | $0.53 - $0.80","27","1","23","",""
"","small dog hats with ear holes","150","60%","$0.35 | $0.32 - $0.38","4","1","37","","54"
"","sog hat","150","60%","$0.35 | $0.32 - $0.38","21","","13","","38"
"","beanie for french bulldog","150","60%","$0.65 | $0.57 - $0.81","43","26","40","",""
"","dog catcher hat","150","60%","$0.79 | $0.63 - $0.95","9","19","35","",""
"","dog hat tail up","150","60%","$0.44 | $0.35 - $0.52","15","3","","","7"
"","dog pinwheel hat","150","60%","$0.41 | $0.33 - $0.50","17","9","","","32"
"","dog propeller hat","150","60%","$0.41 | $0.32 - $0.53","32","40","57","","26"
"","dog spiny hat","150","60%","","15","4","11","",""
"","dog sun hats for medium dogs","150","60%","$0.44 | $0.35 - $0.52","30","1","","","10"
"","french bulldog hats for dogs","150","60%","$0.66 | $0.53 - $0.80","24","3","","","8"
"","helicopter hat for dog","150","60%","$0.56 | $0.45 - $0.68","15","37","14","","55"
"","propeller hat for dogs","150","60%","$0.48 | $0.38 - $0.57","32","31","45","","68"
"","propeller hats for dogs","150","60%","$0.48 | $0.38 - $0.57","15","36","55","","34"
"","puplid trucker hats for dogs","150","60%","$0.48 | $0.32 - $0.53","11","6","","","9"
"","dog hats with ear holes","150","60%","$0.42 | $0.32 - $0.53","3","1","55","","12"
"","naughty dog hat","150","60%","","","19","24","","35"
"","dog baseball caps","150","60%","$0.49 | $0.39 - $0.59","1","3","","","9"
"","dog baseball hat","150","60%","$0.49 | $0.39 - $0.59","2","1","","","3"
"","baseball hats for dogs","150","60%","$0.35 | $0.32 - $0.38","1","2","","52","8"
"","baseball hat for dogs","150","60%","$0.35 | $0.32 - $0.38","1","3","","","6"
"","hats for dogs with ear holes","150","60%","$0.43 | $0.34 - $0.51","1","2","49","","6"
"","hat for small dog","150","60%","$0.59 | $0.47 - $0.71","5","25","57","","14"
"","tailup dog hat","150","60%","$0.43 | $0.34 - $0.51","6","5","","","4"
"","bucket hat for dogs","150","60%","$0.40 | $0.32 - $0.57","20","8","","","37"
"","dog sun hat for large dogs","150","60%","$0.35 | $0.32 - $0.38","8","2","","","7"
"","dog hats for large dogs with ear holes","150","60%","$0.35 | $0.32 - $0.38","1","2","71","","20"
"","trucker hat for dogs","150","60%","$0.35 | $0.32 - $0.43","23","2","","","32"
"","purple dog hat","150","60%","$0.35 | $0.32 - $0.38","1","43","4","","94"
"","dog and owner matching hat","150","60%","$0.51 | $0.41 - $0.62","32","14","","","36"
"","dog construction hat","150","60%","$0.56 | $0.45 - $0.68","16","17","25","",""
"","giraffe hat for dogs","150","60%","$0.41 | $0.33 - $0.50","24","35","5","",""
